"Year","State","District","Democrat","Republican","Other","Total","Winner","Dperc","Rperc","Operc"
2018,"Michigan","9","181734","112123",10706,"304563","D",0.5967041302,0.3681438651,0.03515200468
2018,"Michigan","10","106061","182808",14195,"303064","R",0.3499623842,0.6031993242,0.04683829158
2018,"Michigan","11","181912","158463",10526,"350901","D",0.5184140256,0.4515889097,0.0299970647
2018,"Michigan","12","200588","85115",8925,"294628","D",0.6808178449,0.2888897186,0.03029243656
2018,"Michigan","13","165355","0",30944,"196299","D",0.8423629259,0,0.1576370741
2018,"Michigan","14","214334","45899",4761,"264994","D",0.8088258602,0.1732076953,0.01796644452
2018,"Minnesota","1","144885","146200",576,"291661","R",0.4967582227,0.5012668818,0.001974895512
2018,"Minnesota","2","177958","159344",666,"337968","D",0.5265528097,0.4714765895,0.001970600767
2018,"Minnesota","3","202404","160839",706,"363949","D",0.5561328648,0.441927303,0.001939832229
2018,"Minnesota","4","216865","97747",14003,"328615","D",0.6599363997,0.2974514249,0.04261217534
2018,"Minnesota","5","267703","74440",1215,"343358","D",0.7796614612,0.2167999581,0.003538580723
2018,"Minnesota","6","122332","192931",463,"315726","R",0.3874625466,0.6110709919,0.001466461425
2018,"Minnesota","7","146672","134668",169,"281509","D",0.5210206423,0.4783790216,0.0006003360461
2018,"Minnesota","8","141950","159364",12897,"314211","R",0.4517664881,0.5071878451,0.04104566677
2018,"Mississippi","1","76601","158245",1675,"236521","R",0.3238655341,0.6690526423,0.007081823601
2018,"Mississippi","2","158921","0",62458,"221379","D",0.7178684518,0,0.2821315482
2018,"Mississippi","3","94461","160284",2526,"257271","R",0.3671653626,0.6230161969,0.009818440477
2018,"Mississippi","4","68787","152633",2312,"223732","R",0.3074526666,0.6822135412,0.01033379222
2018,"Missouri","1","219781","45867",8727,"274375","D",0.8010241458,0.1671690205,0.03180683371
2018,"Missouri","2","177611","192477",5978,"376066","R",0.4722867794,0.5118170747,0.01589614589
2018,"Missouri","3","106589","211243",6776,"324608","R",0.3283622092,0.6507633823,0.02087440852
2018,"Missouri","4","95968","190138",7210,"293316","R",0.3271829699,0.6482360321,0.02458099797
2018,"Missouri","5","175019","101069",7697,"283785","D",0.6167309759,0.3561463784,0.02712264566
2018,"Missouri","6","97660","199796",7953,"305409","R",0.3197679178,0.6541915923,0.02604048997
2018,"Missouri","7","89190","196343",10922,"296455","R",0.3008551045,0.662302879,0.03684201649
2018,"Missouri","8","66151","194042",4206,"264399","R",0.2501938358,0.7338983884,0.01590777575
2018,"Montana","1","233284","256661",14476,"504421","R",0.4624787628,0.5088229871,0.02869825007
2018,"Nebraska","1","93069","141712",0,"234781","R",0.3964077161,0.6035922839,0
2018,"Nebraska","2","121770","126715",0,"248485","R",0.4900497012,0.5099502988,0
2018,"Nebraska","3","49654","163650",0,"213304","R",0.232785133,0.767214867,0
